section,element,fontSize,color,url
1menu,//*[@id="block-mainnavigation"]/ul/li[1]/a,18px,#9b9b9b,http://pelvic.dev.ciandt.cn
2heroTextBig,/html/body/div/div/div/section/div/article/div/div[1]/div/div[2]/div/div[1],48px,#636363,http://pelvic.dev.ciandt.cn
3heroTextSmall,/html/body/div/div/div/section/div/article/div/div[1]/div/div[2]/div/div[2],24px,#2b2d2f,http://pelvic.dev.ciandt.cn
4factTitle,/html/body/div/div/div/section/div/article/div/div[2]/section/h1,60px,#4a4a4a,http://pelvic.dev.ciandt.cn
5factText1,/html/body/div/div/div/section/div/article/div/div[2]/section/div[1]/p,24px,#2b2d2f,http://pelvic.dev.ciandt.cn
6fiftyPer,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[1]/div/div[2],144px,#626262,http://pelvic.dev.ciandt.cn
7approximately,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[1]/div/div[1],24px,#626262,http://pelvic.dev.ciandt.cn
8in,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[2]/div/div[2],30px,#4a4a4a,http://pelvic.dev.ciandt.cn
9oneTen,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[2]/div/div[3],144px,#626262,http://pelvic.dev.ciandt.cn
10thirFourty,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[3]/div/div[1],144px,#626262,http://pelvic.dev.ciandt.cn
11under50,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[1]/p,24px,#4a4a4a,http://pelvic.dev.ciandt.cn
12factText2,/html/body/div/div/div/section/div/article/div/div[2]/section/div[3]/p,34px,#4a4a4a,http://pelvic.dev.ciandt.cn
13bottomTitle,/html/body/div/div/div/section/div/article/div/div[3]/div/div[2]/div[1]/div/h2,48px,#000000,http://pelvic.dev.ciandt.cn
14bottomContent,/html/body/div/div/div/section/div/article/div/div[3]/div/div[2]/div[1]/div/p[1],24px,#000000,http://pelvic.dev.ciandt.cn
15Ref,/html/body/div/div/div/section/div/article/div/div[4]/ul/li[1],18px,#4a4a4a,http://pelvic.dev.ciandt.cn
17footerMenu,//*[@id="block-footer"]/ul/li[1]/a,13px,#000000,http://pelvic.dev.ciandt.cn
18footerInfo,//*[@id="block-pmcopyright"]/div/p,11px,#000000,http://pelvic.dev.ciandt.cn